2026-04-17 15:33:16.304 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2026-04-17 15:33:17.109 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8123 (http)
2026-04-17 15:33:17.125 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8123"]
2026-04-17 15:33:17.126 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-04-17 15:33:17.127 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2026-04-17 15:33:17.205 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-17 15:33:17.205 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1857 ms
2026-04-17 15:33:19.007 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8123"]
2026-04-17 15:33:19.025 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8123 (http) with context path '/'
2026-04-17 15:33:19.037 [main] INFO  com.travelagent.TravelAgentApplication - Started TravelAgentApplication in 4.307 seconds (process running for 5.849)
2026-04-17 15:33:24.877 [http-nio-8123-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-17 15:33:24.878 [http-nio-8123-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-17 15:33:24.879 [http-nio-8123-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-04-17 15:33:39.573 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-04-17 15:33:39.580 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-04-17 15:34:01.271 [main] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-17 15:34:02.264 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 15:34:02.265 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 15:34:02.269 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 4 ms
2026-04-17 15:34:02.680 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 15:34:02.681 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 15:34:02.681 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2026-04-17 15:34:02.697 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Business exception: [401] 邮箱或密码错误
2026-04-17 15:34:02.727 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 15:34:02.727 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 15:34:02.728 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
2026-04-17 15:34:02.793 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 15:34:02.793 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 15:34:02.794 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
2026-04-17 15:34:02.837 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 15:34:02.838 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 15:34:02.839 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2026-04-17 15:34:02.851 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Business exception: [400] 邮箱已被注册
2026-04-17 15:34:02.879 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 15:34:02.880 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 15:34:02.880 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2026-04-17 15:34:02.939 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Validation error: 邮箱格式不正确
2026-04-17 15:34:02.970 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 15:34:02.970 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 15:34:02.971 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
2026-04-17 15:34:02.982 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Validation error: 用户名不能为空
2026-04-17 16:19:58.266 [main] WARN  c.travelagent.service.user.impl.QuotaServiceImpl - Daily quota exhausted for userId=1
2026-04-17 16:19:58.289 [main] WARN  c.travelagent.service.user.impl.QuotaServiceImpl - Daily quota exceeded post-debit for userId=1, newDaily=10001, limit=10000
2026-04-17 16:20:11.178 [main] INFO  com.travelagent.service.user.impl.UserServiceImpl - User logged in: id=1
2026-04-17 16:20:11.314 [main] INFO  com.travelagent.service.user.impl.UserServiceImpl - New user registered: id=null, email=test@example.com
2026-04-17 16:20:11.378 [main] INFO  com.travelagent.service.user.impl.UserServiceImpl - Account cancelled (soft-deleted): userId=1
2026-04-17 16:20:11.445 [main] INFO  com.travelagent.service.user.impl.UserServiceImpl - Token blacklisted (logout), remaining validity: 3600000ms
2026-04-17 19:34:29.180 [main] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2026-04-17 19:34:30.137 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:30.138 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:30.141 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 3 ms
2026-04-17 19:34:30.448 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:30.448 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:30.448 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2026-04-17 19:34:30.670 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Validation error: 目的地区域不能为空
2026-04-17 19:34:30.702 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:30.702 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:30.703 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
2026-04-17 19:34:30.709 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Business exception: [400] 任务已处于终态
2026-04-17 19:34:30.739 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:30.740 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:30.740 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2026-04-17 19:34:30.759 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Business exception: [429] 已达到最大并发任务数
2026-04-17 19:34:30.782 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:30.782 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:30.783 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
2026-04-17 19:34:30.792 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Validation error: 最多14天
2026-04-17 19:34:30.817 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:30.818 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:30.818 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2026-04-17 19:34:30.840 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:30.841 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:30.841 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2026-04-17 19:34:30.877 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:30.877 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2026-04-17 19:34:30.878 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 1 ms
2026-04-17 19:34:30.882 [main] WARN  com.travelagent.exception.GlobalExceptionHandler - Business exception: [403] 无权操作该任务
2026-04-17 19:34:30.908 [main] INFO  org.springframework.mock.web.MockServletContext - Initializing Spring TestDispatcherServlet ''
2026-04-17 19:34:30.909 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
